Date,Home Team,Away Team,Home Goals,Away Goals,Possession % (Home),Possession % (Away),Shots (Home),Shots (Away),Corners (Home),Corners (Away),Fouls (Home),Fouls (Away),Winner,Year,Home_Points,Away_Points
2021-10-10,Manchester City,Chelsea,0,5,69,53,13,5,7,7,9,8,Away Team,2021,0,3
2019-12-10,AC Milan,Liverpool,3,0,59,55,8,5,8,7,13,12,Home Team,2019,3,0
2016-08-24,Paris Saint-Germain,Liverpool,4,1,42,37,13,16,6,9,10,6,Home Team,2016,3,0
2023-06-22,Arsenal,Chelsea,2,5,41,58,18,20,2,9,15,15,Away Team,2023,0,3
2016-09-30,Paris Saint-Germain,Liverpool,2,0,43,53,9,18,4,2,14,8,Home Team,2016,3,0
2018-04-28,Arsenal,Borussia Dortmund,0,3,70,40,8,10,10,9,9,7,Away Team,2018,0,3
2019-11-15,Bayern Munich,Chelsea,3,2,62,30,9,25,6,7,11,12,Home Team,2019,3,0
2017-09-28,Arsenal,Juventus,2,0,54,32,14,21,9,8,13,13,Home Team,2017,3,0
2022-01-16,Liverpool,Juventus,1,0,65,60,13,10,10,7,12,10,Home Team,2022,3,0
2016-01-22,Barcelona,Chelsea,4,4,64,51,15,25,5,10,5,15,Draw,2016,1,1
2016-03-01,Real Madrid,Juventus,1,3,43,56,8,19,9,3,13,15,Away Team,2016,0,3
2017-05-31,Arsenal,Manchester City,2,3,65,55,17,19,10,6,7,14,Away Team,2017,0,3
2023-10-31,Manchester City,Paris Saint-Germain,2,3,51,49,11,7,7,8,8,10,Away Team,2023,0,3
2021-08-01,Bayern Munich,AC Milan,3,0,65,38,6,24,4,2,6,15,Home Team,2021,3,0
2019-07-17,Manchester City,Borussia Dortmund,0,4,63,56,8,12,2,5,9,13,Away Team,2019,0,3
2020-01-21,Liverpool,Borussia Dortmund,0,0,65,56,21,19,8,6,6,8,Draw,2020,1,1
2020-01-26,Paris Saint-Germain,Chelsea,2,1,45,55,22,8,4,7,11,7,Home Team,2020,3,0
2024-03-11,Bayern Munich,Manchester City,4,1,49,46,8,12,4,5,15,9,Home Team,2024,3,0
2023-02-19,Real Madrid,Liverpool,2,3,47,39,25,10,8,3,11,10,Away Team,2023,0,3
2018-01-09,Barcelona,Arsenal,3,2,62,43,11,24,7,6,10,11,Home Team,2018,3,0
2022-11-22,AC Milan,Juventus,2,3,59,47,5,24,8,4,13,13,Away Team,2022,0,3
2018-12-20,Real Madrid,Juventus,3,3,70,35,25,7,3,3,14,12,Draw,2018,1,1
2024-06-23,Juventus,Barcelona,4,3,40,46,5,20,2,6,8,13,Home Team,2024,3,0
2024-01-30,AC Milan,Manchester City,2,3,58,30,23,8,7,7,12,14,Away Team,2024,0,3
2015-07-23,Liverpool,Chelsea,0,1,67,60,21,18,5,7,12,6,Away Team,2015,0,3
2016-04-22,Bayern Munich,Borussia Dortmund,1,4,64,41,5,13,5,3,10,5,Away Team,2016,0,3
2017-07-03,Real Madrid,Borussia Dortmund,2,2,49,39,15,10,7,2,6,8,Draw,2017,1,1
2016-02-25,Manchester City,Bayern Munich,1,4,51,54,14,12,5,9,9,8,Away Team,2016,0,3
2024-12-08,Bayern Munich,Chelsea,3,1,70,36,20,11,3,2,8,6,Home Team,2024,3,0
2025-12-25,Chelsea,Paris Saint-Germain,4,0,60,47,8,18,4,9,15,14,Home Team,2025,3,0
2017-07-03,Juventus,Manchester City,1,3,69,52,10,22,4,3,13,8,Away Team,2017,0,3
2018-04-03,Paris Saint-Germain,Arsenal,2,2,46,33,18,17,10,6,12,8,Draw,2018,1,1
2016-11-04,Real Madrid,Arsenal,3,0,45,37,12,17,7,10,12,6,Home Team,2016,3,0
2024-07-23,Chelsea,Borussia Dortmund,4,4,61,51,22,10,2,3,10,7,Draw,2024,1,1
2019-03-18,Liverpool,Barcelona,3,2,49,37,13,21,6,6,9,9,Home Team,2019,3,0
2020-11-09,Real Madrid,Bayern Munich,0,0,58,33,11,20,5,8,12,5,Draw,2020,1,1
2020-10-29,Arsenal,Arsenal,5,4,67,43,12,14,5,10,14,6,Home Team,2020,3,0
2021-02-21,Chelsea,Borussia Dortmund,3,5,59,60,22,14,6,2,5,8,Away Team,2021,0,3
2016-09-30,Manchester City,Arsenal,3,5,58,57,5,6,4,6,15,5,Away Team,2016,0,3
2022-10-22,Chelsea,Paris Saint-Germain,5,0,46,44,23,10,4,7,11,15,Home Team,2022,3,0
2017-01-14,Real Madrid,Bayern Munich,5,5,44,46,19,11,10,4,12,5,Draw,2017,1,1
2021-07-18,Manchester City,Liverpool,5,0,49,45,15,21,8,2,9,10,Home Team,2021,3,0
2024-11-28,Barcelona,Bayern Munich,0,1,44,44,10,24,6,6,5,13,Away Team,2024,0,3
2017-09-28,Barcelona,Liverpool,1,1,45,39,14,23,3,10,13,15,Draw,2017,1,1
2016-06-12,Liverpool,Paris Saint-Germain,4,0,59,57,23,16,7,8,9,8,Home Team,2016,3,0
2025-01-04,Chelsea,Bayern Munich,0,2,63,42,25,25,8,3,9,12,Away Team,2025,0,3
2018-02-04,Bayern Munich,Barcelona,3,1,56,36,9,20,8,2,13,12,Home Team,2018,3,0
2020-01-15,Bayern Munich,Liverpool,5,5,66,36,24,9,9,4,11,13,Draw,2020,1,1
2025-12-25,AC Milan,Barcelona,0,4,48,38,18,25,9,3,9,8,Away Team,2025,0,3
2024-01-22,Juventus,Barcelona,1,4,57,60,22,9,7,9,14,12,Away Team,2024,0,3
2020-01-13,AC Milan,Chelsea,1,4,66,37,9,18,5,6,9,12,Away Team,2020,0,3
2024-10-02,Arsenal,Arsenal,2,5,59,56,6,16,3,9,6,8,Away Team,2024,0,3
2016-02-23,Bayern Munich,Chelsea,0,3,57,59,13,6,8,5,9,7,Away Team,2016,0,3
2025-06-02,Arsenal,Bayern Munich,1,0,67,32,19,14,5,4,6,12,Home Team,2025,3,0
2018-09-05,Chelsea,Bayern Munich,2,3,69,43,17,13,6,8,8,9,Away Team,2018,0,3
2023-02-16,Bayern Munich,Barcelona,0,1,55,48,12,23,3,9,5,5,Away Team,2023,0,3
2016-01-27,Paris Saint-Germain,Barcelona,5,5,60,59,7,19,7,8,5,12,Draw,2016,1,1
2023-03-03,Arsenal,Paris Saint-Germain,4,0,46,46,21,13,9,3,11,10,Home Team,2023,3,0
2021-12-26,Liverpool,Barcelona,5,2,68,48,24,24,2,6,9,8,Home Team,2021,3,0
2015-05-11,Real Madrid,Liverpool,3,3,41,32,7,12,5,6,11,9,Draw,2015,1,1
2016-04-03,Chelsea,Paris Saint-Germain,4,1,69,38,15,8,10,9,13,5,Home Team,2016,3,0
2018-09-21,Manchester City,Chelsea,3,3,57,59,25,12,6,5,10,14,Draw,2018,1,1
2017-11-21,Bayern Munich,Chelsea,2,3,47,44,15,15,5,3,14,5,Away Team,2017,0,3
2019-06-12,Manchester City,AC Milan,4,1,44,30,21,25,2,9,13,11,Home Team,2019,3,0
2025-12-26,Paris Saint-Germain,Bayern Munich,4,4,69,33,15,18,10,3,7,12,Draw,2025,1,1
2025-07-14,Bayern Munich,Barcelona,1,1,42,39,13,24,7,8,10,14,Draw,2025,1,1
2016-04-28,Juventus,Paris Saint-Germain,5,0,58,54,21,13,3,10,6,14,Home Team,2016,3,0
2021-02-28,Barcelona,Barcelona,4,1,45,44,9,12,6,7,14,6,Home Team,2021,3,0
2020-12-14,Chelsea,Manchester City,4,0,44,41,14,22,7,7,14,12,Home Team,2020,3,0
2019-02-26,Liverpool,Bayern Munich,3,5,58,35,8,19,7,4,10,13,Away Team,2019,0,3
2016-09-08,Real Madrid,Manchester City,1,2,43,39,11,24,9,4,10,5,Away Team,2016,0,3
2019-07-31,Paris Saint-Germain,Juventus,0,1,52,38,24,7,8,3,15,15,Away Team,2019,0,3
2024-08-26,Bayern Munich,Liverpool,1,3,62,46,16,19,7,7,5,9,Away Team,2024,0,3
2017-11-07,Real Madrid,Liverpool,1,5,46,44,22,7,6,2,14,5,Away Team,2017,0,3
2019-12-16,Bayern Munich,AC Milan,0,2,65,35,7,19,4,2,13,7,Away Team,2019,0,3
2015-12-01,Bayern Munich,Liverpool,1,2,57,47,24,18,3,6,9,5,Away Team,2015,0,3
2021-04-10,Liverpool,Chelsea,3,3,44,49,7,23,3,10,11,15,Draw,2021,1,1
2021-03-26,Bayern Munich,Chelsea,4,3,40,50,7,22,8,10,6,8,Home Team,2021,3,0
2024-04-24,Liverpool,Barcelona,5,1,40,35,10,18,2,2,6,5,Home Team,2024,3,0
2022-01-05,Juventus,Bayern Munich,5,0,45,42,8,16,7,10,13,11,Home Team,2022,3,0
2015-01-17,Bayern Munich,Borussia Dortmund,4,3,64,30,5,15,8,6,7,13,Home Team,2015,3,0
2015-07-31,Liverpool,Arsenal,3,3,45,42,13,19,8,8,15,12,Draw,2015,1,1
2024-07-23,Real Madrid,Bayern Munich,3,3,43,54,8,19,2,6,8,15,Draw,2024,1,1
2025-11-24,AC Milan,Juventus,2,3,58,58,13,16,9,10,11,10,Away Team,2025,0,3
2016-11-29,Manchester City,Borussia Dortmund,4,3,55,58,7,5,3,5,10,15,Home Team,2016,3,0
2015-06-26,Chelsea,Arsenal,5,3,65,58,21,24,10,4,15,5,Home Team,2015,3,0
2024-08-03,Barcelona,Barcelona,2,2,45,57,7,17,4,9,11,5,Draw,2024,1,1
2017-10-23,Manchester City,Chelsea,1,4,49,54,8,19,4,10,14,15,Away Team,2017,0,3
2023-02-02,Barcelona,Bayern Munich,5,0,67,55,5,20,8,2,13,12,Home Team,2023,3,0
2019-06-08,Bayern Munich,Manchester City,5,1,49,44,5,15,3,8,8,10,Home Team,2019,3,0
2022-11-04,Barcelona,Manchester City,1,2,40,54,10,18,3,6,8,9,Away Team,2022,0,3
2017-06-05,Barcelona,Liverpool,1,0,70,55,13,14,10,6,7,13,Home Team,2017,3,0
2015-09-11,Chelsea,Paris Saint-Germain,4,4,66,30,8,11,2,10,6,11,Draw,2015,1,1
2016-10-02,Manchester City,Arsenal,3,4,51,43,5,21,10,10,13,12,Away Team,2016,0,3
2017-01-10,Real Madrid,Chelsea,0,3,70,33,24,20,3,2,12,15,Away Team,2017,0,3
2018-05-19,Juventus,Borussia Dortmund,1,4,67,30,12,19,4,2,12,10,Away Team,2018,0,3
2022-11-07,Paris Saint-Germain,Bayern Munich,5,4,63,32,19,8,9,2,15,10,Home Team,2022,3,0
2015-10-28,Arsenal,Manchester City,3,1,46,34,12,16,10,9,8,15,Home Team,2015,3,0
2023-01-16,Juventus,Chelsea,3,0,53,34,15,6,8,2,10,6,Home Team,2023,3,0
2016-09-07,Bayern Munich,AC Milan,4,1,64,48,13,23,10,6,13,13,Home Team,2016,3,0
2017-08-03,Paris Saint-Germain,Paris Saint-Germain,3,2,47,44,22,17,2,6,13,10,Home Team,2017,3,0
2018-03-10,Barcelona,Borussia Dortmund,0,3,46,52,19,20,10,8,13,14,Away Team,2018,0,3
2025-07-28,Barcelona,Juventus,1,3,66,52,6,24,3,6,11,15,Away Team,2025,0,3
2020-05-11,Bayern Munich,Paris Saint-Germain,3,2,55,38,17,13,4,9,5,12,Home Team,2020,3,0
2022-01-22,Paris Saint-Germain,AC Milan,3,4,47,34,7,25,3,5,7,13,Away Team,2022,0,3
2024-05-10,Arsenal,Barcelona,4,4,54,50,9,20,3,7,14,13,Draw,2024,1,1
2025-11-09,Barcelona,Manchester City,5,0,42,39,6,7,7,8,13,15,Home Team,2025,3,0
2022-08-25,Paris Saint-Germain,Barcelona,1,0,52,42,17,5,8,2,10,8,Home Team,2022,3,0
2018-02-15,Real Madrid,Chelsea,3,3,45,40,21,9,8,3,11,11,Draw,2018,1,1
2025-04-27,Arsenal,Liverpool,0,5,67,59,8,7,3,6,15,9,Away Team,2025,0,3
2017-03-15,Juventus,Chelsea,5,5,43,60,14,7,8,5,14,11,Draw,2017,1,1
2020-03-04,AC Milan,Juventus,2,2,55,50,9,13,2,6,7,7,Draw,2020,1,1
2021-09-22,Real Madrid,Manchester City,4,5,53,34,16,6,3,2,14,6,Away Team,2021,0,3
2024-03-14,Real Madrid,Barcelona,5,0,46,41,24,12,6,5,11,10,Home Team,2024,3,0
2024-02-28,Bayern Munich,Chelsea,3,3,62,38,18,15,4,5,13,6,Draw,2024,1,1
2022-05-18,Juventus,Barcelona,4,1,44,41,7,24,8,7,12,14,Home Team,2022,3,0
2019-04-18,Bayern Munich,Chelsea,5,4,55,50,11,14,4,4,8,7,Home Team,2019,3,0
2018-03-08,Manchester City,Arsenal,2,4,54,43,18,10,3,5,10,7,Away Team,2018,0,3
2021-03-17,Paris Saint-Germain,Arsenal,0,4,41,58,22,23,7,6,8,5,Away Team,2021,0,3
2023-02-12,Paris Saint-Germain,Liverpool,0,4,63,44,21,23,6,4,9,5,Away Team,2023,0,3
2015-08-07,Arsenal,Chelsea,2,1,67,54,16,6,3,4,14,7,Home Team,2015,3,0
2021-10-22,Manchester City,Paris Saint-Germain,4,4,46,36,11,20,10,4,14,11,Draw,2021,1,1
2023-03-31,Arsenal,Juventus,3,0,60,40,6,11,4,6,13,11,Home Team,2023,3,0
2020-03-01,Liverpool,Manchester City,3,0,47,50,24,24,3,6,6,7,Home Team,2020,3,0
2023-01-16,Manchester City,Borussia Dortmund,5,3,68,40,23,22,10,5,6,5,Home Team,2023,3,0
2022-03-05,Bayern Munich,Manchester City,2,1,61,35,9,23,5,7,14,6,Home Team,2022,3,0
2020-07-07,Manchester City,Manchester City,3,4,58,58,16,24,5,7,5,6,Away Team,2020,0,3
2024-06-11,Liverpool,Manchester City,0,2,54,50,23,7,10,10,9,9,Away Team,2024,0,3
2022-02-24,AC Milan,AC Milan,4,0,56,30,12,12,7,4,14,14,Home Team,2022,3,0
2017-11-11,Juventus,Bayern Munich,4,2,60,58,7,19,2,7,13,6,Home Team,2017,3,0
2024-07-09,Barcelona,Bayern Munich,3,0,44,53,5,22,10,9,7,14,Home Team,2024,3,0
2021-05-19,Manchester City,Bayern Munich,3,0,66,36,5,21,4,7,12,11,Home Team,2021,3,0
2017-10-09,Bayern Munich,Arsenal,2,5,56,31,22,10,9,2,11,11,Away Team,2017,0,3
2018-12-26,AC Milan,Chelsea,0,1,50,40,17,11,10,6,8,8,Away Team,2018,0,3
2015-04-02,Liverpool,Manchester City,3,3,61,34,24,10,4,5,7,5,Draw,2015,1,1
2020-12-03,Liverpool,Barcelona,2,1,43,60,17,24,3,7,10,5,Home Team,2020,3,0
2015-03-06,Arsenal,AC Milan,5,1,49,54,25,25,7,5,9,12,Home Team,2015,3,0
2023-09-04,Real Madrid,Barcelona,5,2,62,58,11,21,8,5,5,5,Home Team,2023,3,0
2015-08-01,Bayern Munich,Liverpool,3,2,42,53,23,14,2,8,7,11,Home Team,2015,3,0
2023-09-15,Barcelona,Arsenal,0,1,51,54,13,9,5,9,7,7,Away Team,2023,0,3
2025-02-03,Manchester City,Arsenal,3,0,55,58,22,14,5,7,6,13,Home Team,2025,3,0
2023-03-31,Chelsea,Paris Saint-Germain,0,2,46,41,12,17,10,10,9,5,Away Team,2023,0,3
2022-01-22,Paris Saint-Germain,Liverpool,1,2,64,59,17,25,9,3,13,11,Away Team,2022,0,3
2021-05-14,Bayern Munich,Liverpool,3,5,49,38,14,23,7,4,7,14,Away Team,2021,0,3
2017-07-14,Paris Saint-Germain,Juventus,0,4,64,49,18,23,10,7,9,14,Away Team,2017,0,3
2023-01-18,Arsenal,AC Milan,2,5,64,53,24,9,6,9,7,12,Away Team,2023,0,3
2018-04-17,Real Madrid,Liverpool,5,5,59,60,19,8,4,7,7,15,Draw,2018,1,1
2023-04-20,Manchester City,Paris Saint-Germain,5,1,48,40,6,16,8,9,15,5,Home Team,2023,3,0
2015-02-12,Manchester City,Liverpool,3,4,55,59,6,19,7,10,14,10,Away Team,2015,0,3
2018-02-22,Arsenal,Liverpool,4,5,41,45,11,8,6,7,15,12,Away Team,2018,0,3
2016-05-17,Real Madrid,Barcelona,4,2,61,43,20,15,3,4,14,5,Home Team,2016,3,0
2023-10-03,Arsenal,Paris Saint-Germain,4,5,41,31,5,21,7,10,12,9,Away Team,2023,0,3
2018-03-13,Liverpool,Arsenal,4,3,47,50,16,22,6,6,11,9,Home Team,2018,3,0
2018-11-10,Real Madrid,Arsenal,4,4,45,46,14,16,10,10,10,15,Draw,2018,1,1
2016-12-11,Chelsea,Arsenal,3,1,58,45,15,21,8,7,14,8,Home Team,2016,3,0
2022-01-13,Juventus,Manchester City,4,4,61,40,13,20,6,10,9,6,Draw,2022,1,1
2023-07-14,Chelsea,Paris Saint-Germain,3,5,43,45,23,8,6,9,13,12,Away Team,2023,0,3
2022-04-16,Arsenal,AC Milan,0,1,61,33,25,5,5,5,13,9,Away Team,2022,0,3
2018-02-28,Bayern Munich,Manchester City,4,2,69,42,17,9,10,9,8,15,Home Team,2018,3,0
2016-09-16,Bayern Munich,Chelsea,3,0,51,52,15,13,7,5,9,14,Home Team,2016,3,0
2018-04-18,Manchester City,Chelsea,4,4,51,48,9,10,8,8,12,8,Draw,2018,1,1
2023-09-01,Manchester City,Liverpool,4,3,55,38,16,17,9,10,12,13,Home Team,2023,3,0
2016-09-15,Chelsea,Liverpool,3,1,67,35,16,10,2,6,12,11,Home Team,2016,3,0
2021-07-14,Manchester City,Arsenal,4,1,65,41,21,14,2,2,15,11,Home Team,2021,3,0
2016-08-30,Chelsea,AC Milan,1,0,55,32,11,8,8,4,15,10,Home Team,2016,3,0
2022-07-22,Bayern Munich,Manchester City,5,2,42,32,14,9,10,4,10,9,Home Team,2022,3,0
2020-11-18,Liverpool,Barcelona,3,5,68,36,8,10,8,5,7,9,Away Team,2020,0,3
2023-01-26,Chelsea,Juventus,5,2,70,32,24,19,8,8,5,8,Home Team,2023,3,0
2025-09-11,AC Milan,Liverpool,0,5,43,52,18,10,8,5,12,15,Away Team,2025,0,3
2015-03-27,Paris Saint-Germain,Paris Saint-Germain,0,2,45,47,22,25,10,2,13,9,Away Team,2015,0,3
2018-02-08,Bayern Munich,Manchester City,3,4,62,42,11,12,9,2,14,7,Away Team,2018,0,3
2015-02-04,Chelsea,Juventus,3,2,48,57,17,14,6,6,5,11,Home Team,2015,3,0
2024-06-13,Barcelona,Paris Saint-Germain,1,2,60,34,22,6,5,5,13,11,Away Team,2024,0,3
2016-03-12,Real Madrid,Paris Saint-Germain,4,4,48,44,24,19,10,10,14,10,Draw,2016,1,1
2017-03-05,Chelsea,Chelsea,1,3,45,34,14,16,5,7,9,14,Away Team,2017,0,3
2024-09-24,Liverpool,Juventus,1,4,44,36,13,10,5,9,12,8,Away Team,2024,0,3
2020-09-15,Paris Saint-Germain,Arsenal,4,5,53,31,12,10,6,6,6,14,Away Team,2020,0,3
2022-02-28,Paris Saint-Germain,Liverpool,0,3,52,32,22,5,5,4,5,15,Away Team,2022,0,3
2023-08-05,Arsenal,Borussia Dortmund,5,1,40,36,18,16,10,6,6,13,Home Team,2023,3,0
2024-04-30,Liverpool,Juventus,4,5,52,40,18,21,7,10,9,8,Away Team,2024,0,3
2025-02-11,Real Madrid,Manchester City,3,2,65,45,24,22,6,7,9,13,Home Team,2025,3,0
2015-06-09,Arsenal,Borussia Dortmund,5,3,49,36,5,10,5,4,8,15,Home Team,2015,3,0
2017-04-29,AC Milan,Borussia Dortmund,1,0,58,42,11,9,9,6,5,12,Home Team,2017,3,0
2023-03-24,Paris Saint-Germain,Liverpool,4,5,67,59,17,22,9,4,15,15,Away Team,2023,0,3
2021-04-23,Juventus,Chelsea,0,3,48,49,8,5,5,8,5,9,Away Team,2021,0,3
2018-02-25,Real Madrid,Barcelona,3,4,59,51,12,5,5,10,12,9,Away Team,2018,0,3
2022-09-11,Barcelona,Liverpool,3,0,64,42,13,13,5,7,5,6,Home Team,2022,3,0
2017-08-09,Manchester City,Liverpool,5,1,66,47,18,7,5,8,15,7,Home Team,2017,3,0
2016-06-18,Manchester City,Chelsea,5,4,56,45,13,22,9,3,8,11,Home Team,2016,3,0
2015-08-17,Manchester City,Chelsea,5,4,53,59,14,21,3,6,7,14,Home Team,2015,3,0
2016-09-29,Manchester City,Barcelona,3,2,66,56,17,8,6,6,12,12,Home Team,2016,3,0
2017-01-28,Juventus,Manchester City,4,0,63,34,16,9,10,2,6,10,Home Team,2017,3,0
2022-10-15,Manchester City,Borussia Dortmund,0,1,62,35,19,13,9,8,10,14,Away Team,2022,0,3
2020-08-11,Chelsea,Arsenal,4,4,65,45,20,22,3,4,7,12,Draw,2020,1,1
2016-11-09,Manchester City,AC Milan,0,4,55,50,5,24,2,5,8,13,Away Team,2016,0,3
2016-09-02,Real Madrid,Chelsea,1,3,69,57,8,7,6,2,10,5,Away Team,2016,0,3
2016-09-09,Juventus,Paris Saint-Germain,1,3,69,51,23,15,6,2,7,10,Away Team,2016,0,3
2019-11-24,Bayern Munich,Manchester City,4,0,62,57,7,14,4,8,14,5,Home Team,2019,3,0
2018-12-06,Real Madrid,AC Milan,4,3,53,40,20,9,8,5,11,11,Home Team,2018,3,0
2024-10-16,Chelsea,Liverpool,2,4,46,44,15,19,5,6,15,9,Away Team,2024,0,3
2019-01-06,Manchester City,Chelsea,4,2,60,52,5,6,2,10,15,11,Home Team,2019,3,0
2019-08-28,Paris Saint-Germain,Liverpool,3,2,57,46,23,17,4,5,8,5,Home Team,2019,3,0
2021-05-21,AC Milan,Liverpool,5,5,67,41,22,24,7,10,13,15,Draw,2021,1,1
2016-03-30,Real Madrid,Paris Saint-Germain,2,1,64,38,6,14,5,4,14,14,Home Team,2016,3,0
2017-08-22,Paris Saint-Germain,AC Milan,1,1,69,52,13,10,5,9,13,12,Draw,2017,1,1
2024-10-23,Chelsea,Barcelona,5,3,68,42,13,5,6,4,14,11,Home Team,2024,3,0
2015-04-02,Chelsea,Juventus,2,4,42,56,12,21,2,4,10,15,Away Team,2015,0,3
2018-10-31,Chelsea,Barcelona,3,0,54,44,21,25,10,2,11,9,Home Team,2018,3,0
2020-05-16,Barcelona,AC Milan,0,0,57,50,24,12,5,10,8,7,Draw,2020,1,1
2018-03-01,Chelsea,Juventus,3,0,66,45,25,21,3,8,9,10,Home Team,2018,3,0
2024-11-30,Manchester City,Bayern Munich,0,3,55,42,22,17,4,7,6,13,Away Team,2024,0,3
2018-09-19,Chelsea,Manchester City,1,4,51,30,22,17,8,2,11,14,Away Team,2018,0,3
2025-06-17,Chelsea,Borussia Dortmund,4,3,56,47,11,23,9,7,15,6,Home Team,2025,3,0
